id,method,trial,successful,evaluationsConsumed,fitness
0,hill,0,0,300,4
1,random,0,1,21,0
2,hill,1,1,55,0
3,random,1,1,63,0
4,hill,2,0,300,4
5,random,2,0,300,1
6,hill,3,1,5,0
7,random,3,1,81,0
8,hill,4,1,259,0
9,random,4,0,300,1
10,hill,5,1,235,0
11,random,5,1,295,0
12,hill,6,1,36,0
13,random,6,0,300,4
14,hill,7,1,199,0
15,random,7,0,300,2
16,hill,8,1,115,0
17,random,8,0,300,1
18,hill,9,1,59,0
19,random,9,0,300,1
20,hill,10,1,43,0
21,random,10,0,300,1
22,hill,11,1,7,0
23,random,11,0,300,1
24,hill,12,1,15,0
25,random,12,0,300,1
26,hill,13,1,229,0
27,random,13,0,300,4
28,hill,14,0,300,4
29,random,14,0,300,1
30,hill,15,1,23,0
31,random,15,1,208,0
32,hill,16,1,61,0
33,random,16,1,97,0
34,hill,17,1,30,0
35,random,17,0,300,1
36,hill,18,0,300,4
37,random,18,0,300,1
38,hill,19,1,229,0
39,random,19,0,300,1
40,hill,20,0,300,4
41,random,20,0,300,1
42,hill,21,1,85,0
43,random,21,1,208,0
44,hill,22,1,67,0
45,random,22,0,300,1
46,hill,23,1,55,0
47,random,23,0,300,1
48,hill,24,1,85,0
49,random,24,0,300,1
50,hill,25,1,224,0
51,random,25,0,300,1
52,hill,26,1,50,0
53,random,26,1,229,0
54,hill,27,1,55,0
55,random,27,1,231,0
56,hill,28,1,157,0
57,random,28,0,300,1
58,hill,29,1,73,0
59,random,29,0,300,1
60,hill,30,0,300,1
61,random,30,1,217,0
62,hill,31,1,86,0
63,random,31,0,300,1
64,hill,32,1,289,0
65,random,32,1,160,0
66,hill,33,1,249,0
67,random,33,0,300,1
68,hill,34,1,193,0
69,random,34,0,300,1
70,hill,35,0,300,1
71,random,35,0,300,1
72,hill,36,1,37,0
73,random,36,0,300,2
74,hill,37,0,300,5
75,random,37,0,300,1
76,hill,38,1,157,0
77,random,38,0,300,1
78,hill,39,1,10,0
79,random,39,0,300,4
80,hill,40,1,205,0
81,random,40,0,300,1
82,hill,41,0,300,4
83,random,41,0,300,1
84,hill,42,0,300,4
85,random,42,0,300,1
86,hill,43,0,300,1
87,random,43,0,300,1
88,hill,44,1,41,0
89,random,44,0,300,1
90,hill,45,1,232,0
91,random,45,1,16,0
92,hill,46,1,98,0
93,random,46,0,300,1
94,hill,47,1,49,0
95,random,47,0,300,1
96,hill,48,1,73,0
97,random,48,0,300,1
98,hill,49,1,31,0
99,random,49,0,300,1
100,hill,50,1,43,0
101,random,50,0,300,1
102,hill,51,0,300,4
103,random,51,1,71,0
104,hill,52,1,121,0
105,random,52,0,300,1
106,hill,53,1,67,0
107,random,53,0,300,1
108,hill,54,1,124,0
109,random,54,0,300,1
110,hill,55,1,18,0
111,random,55,0,300,1
112,hill,56,0,300,4
113,random,56,0,300,1
114,hill,57,1,88,0
115,random,57,0,300,1
116,hill,58,0,300,1
117,random,58,1,2,0
118,hill,59,1,79,0
119,random,59,0,300,1
120,hill,60,1,44,0
121,random,60,0,300,2
122,hill,61,1,139,0
123,random,61,0,300,1
124,hill,62,1,38,0
125,random,62,0,300,1
126,hill,63,1,145,0
127,random,63,0,300,1
128,hill,64,1,151,0
129,random,64,0,300,1
130,hill,65,1,26,0
131,random,65,0,300,1
132,hill,66,1,54,0
133,random,66,0,300,1
134,hill,67,1,200,0
135,random,67,0,300,1
136,hill,68,0,300,1
137,random,68,1,150,0
138,hill,69,1,49,0
139,random,69,1,190,0
140,hill,70,1,29,0
141,random,70,1,142,0
142,hill,71,1,163,0
143,random,71,0,300,1
144,hill,72,1,111,0
145,random,72,0,300,1
146,hill,73,1,121,0
147,random,73,0,300,1
148,hill,74,1,117,0
149,random,74,0,300,4
150,hill,75,1,141,0
151,random,75,0,300,1
152,hill,76,1,65,0
153,random,76,0,300,1
154,hill,77,0,300,1
155,random,77,0,300,1
156,hill,78,0,300,4
157,random,78,0,300,1
158,hill,79,1,73,0
159,random,79,0,300,1
160,hill,80,0,300,4
161,random,80,0,300,1
162,hill,81,0,300,4
163,random,81,0,300,4
164,hill,82,1,16,0
165,random,82,0,300,1
166,hill,83,0,300,4
167,random,83,1,194,0
168,hill,84,1,37,0
169,random,84,0,300,1
170,hill,85,0,300,4
171,random,85,0,300,1
172,hill,86,1,79,0
173,random,86,0,300,1
174,hill,87,0,300,5
175,random,87,0,300,1
176,hill,88,0,300,5
177,random,88,0,300,1
178,hill,89,1,67,0
179,random,89,0,300,1
180,hill,90,1,62,0
181,random,90,1,207,0
182,hill,91,1,147,0
183,random,91,0,300,1
184,hill,92,1,103,0
185,random,92,0,300,1
186,hill,93,1,49,0
187,random,93,0,300,1
188,hill,94,0,300,4
189,random,94,0,300,1
190,hill,95,1,169,0
191,random,95,0,300,1
192,hill,96,1,295,0
193,random,96,0,300,1
194,hill,97,1,85,0
195,random,97,0,300,1
196,hill,98,1,181,0
197,random,98,0,300,1
198,hill,99,1,31,0
199,random,99,0,300,2
200,hill,100,1,241,0
201,random,100,0,300,1
202,hill,101,0,300,4
203,random,101,0,300,1
204,hill,102,0,300,4
205,random,102,1,43,0
206,hill,103,0,300,4
207,random,103,0,300,1
208,hill,104,1,247,0
209,random,104,0,300,4
210,hill,105,1,200,0
211,random,105,1,71,0
212,hill,106,1,157,0
213,random,106,0,300,1
214,hill,107,0,300,4
215,random,107,1,147,0
216,hill,108,0,300,1
217,random,108,0,300,4
218,hill,109,1,283,0
219,random,109,0,300,1
220,hill,110,1,199,0
221,random,110,0,300,1
222,hill,111,1,53,0
223,random,111,1,119,0
224,hill,112,1,71,0
225,random,112,0,300,1
226,hill,113,1,145,0
227,random,113,0,300,1
228,hill,114,1,170,0
229,random,114,0,300,1
230,hill,115,1,102,0
231,random,115,0,300,1
232,hill,116,1,49,0
233,random,116,0,300,1
234,hill,117,1,58,0
235,random,117,0,300,1
236,hill,118,1,49,0
237,random,118,0,300,4
238,hill,119,1,247,0
239,random,119,0,300,1
240,hill,120,1,73,0
241,random,120,0,300,2
242,hill,121,1,55,0
243,random,121,0,300,1
244,hill,122,1,12,0
245,random,122,0,300,1
246,hill,123,1,115,0
247,random,123,1,192,0
248,hill,124,1,163,0
249,random,124,1,69,0
250,hill,125,0,300,1
251,random,125,0,300,1
252,hill,126,1,97,0
253,random,126,0,300,1
254,hill,127,0,300,5
255,random,127,0,300,1
256,hill,128,1,61,0
257,random,128,0,300,1
258,hill,129,1,67,0
259,random,129,0,300,1
260,hill,130,1,133,0
261,random,130,0,300,1
262,hill,131,1,193,0
263,random,131,1,252,0
264,hill,132,1,24,0
265,random,132,0,300,1
266,hill,133,1,43,0
267,random,133,0,300,1
268,hill,134,1,109,0
269,random,134,0,300,1
270,hill,135,1,58,0
271,random,135,0,300,4
272,hill,136,1,123,0
273,random,136,0,300,1
274,hill,137,1,157,0
275,random,137,1,240,0
276,hill,138,1,105,0
277,random,138,1,203,0
278,hill,139,0,300,4
279,random,139,0,300,1
280,hill,140,1,103,0
281,random,140,0,300,1
282,hill,141,0,300,5
283,random,141,0,300,1
284,hill,142,1,25,0
285,random,142,0,300,1
286,hill,143,1,177,0
287,random,143,0,300,1
288,hill,144,1,139,0
289,random,144,0,300,4
290,hill,145,1,55,0
291,random,145,0,300,1
292,hill,146,1,85,0
293,random,146,0,300,1
294,hill,147,1,23,0
295,random,147,0,300,1
296,hill,148,0,300,5
297,random,148,0,300,1
298,hill,149,0,300,5
299,random,149,0,300,1
300,hill,150,1,187,0
301,random,150,0,300,1
302,hill,151,0,300,6
303,random,151,1,29,0
304,hill,152,1,157,0
305,random,152,0,300,1
306,hill,153,0,300,4
307,random,153,0,300,1
308,hill,154,1,25,0
309,random,154,0,300,1
310,hill,155,1,85,0
311,random,155,0,300,2
312,hill,156,1,97,0
313,random,156,0,300,1
314,hill,157,1,220,0
315,random,157,1,214,0
316,hill,158,1,49,0
317,random,158,0,300,1
318,hill,159,1,187,0
319,random,159,1,188,0
320,hill,160,1,181,0
321,random,160,0,300,1
322,hill,161,1,171,0
323,random,161,0,300,1
324,hill,162,1,62,0
325,random,162,0,300,1
326,hill,163,1,103,0
327,random,163,0,300,1
328,hill,164,1,205,0
329,random,164,1,12,0
330,hill,165,0,300,4
331,random,165,0,300,1
332,hill,166,1,43,0
333,random,166,1,232,0
334,hill,167,0,300,1
335,random,167,0,300,1
336,hill,168,0,300,6
337,random,168,0,300,4
338,hill,169,1,175,0
339,random,169,0,300,1
340,hill,170,1,36,0
341,random,170,0,300,1
342,hill,171,1,145,0
343,random,171,0,300,1
344,hill,172,1,198,0
345,random,172,0,300,1
346,hill,173,0,300,1
347,random,173,0,300,1
348,hill,174,1,186,0
349,random,174,0,300,1
350,hill,175,0,300,4
351,random,175,0,300,1
352,hill,176,0,300,4
353,random,176,1,141,0
354,hill,177,0,300,4
355,random,177,0,300,1
356,hill,178,1,283,0
357,random,178,0,300,1
358,hill,179,1,67,0
359,random,179,0,300,1
360,hill,180,1,115,0
361,random,180,0,300,1
362,hill,181,1,85,0
363,random,181,0,300,1
364,hill,182,1,169,0
365,random,182,0,300,1
366,hill,183,0,300,1
367,random,183,0,300,1
368,hill,184,1,64,0
369,random,184,0,300,1
370,hill,185,1,175,0
371,random,185,0,300,1
372,hill,186,0,300,6
373,random,186,0,300,1
374,hill,187,0,300,1
375,random,187,1,217,0
376,hill,188,1,115,0
377,random,188,0,300,1
378,hill,189,1,131,0
379,random,189,1,41,0
380,hill,190,1,289,0
381,random,190,0,300,1
382,hill,191,1,37,0
383,random,191,0,300,1
384,hill,192,1,151,0
385,random,192,0,300,1
386,hill,193,1,103,0
387,random,193,1,281,0
388,hill,194,0,300,4
389,random,194,1,74,0
390,hill,195,1,229,0
391,random,195,0,300,1
392,hill,196,1,49,0
393,random,196,1,4,0
394,hill,197,1,37,0
395,random,197,0,300,1
396,hill,198,1,37,0
397,random,198,0,300,1
398,hill,199,1,247,0
399,random,199,0,300,1
400,hill,200,1,30,0
401,random,200,0,300,1
402,hill,201,1,181,0
403,random,201,0,300,2
404,hill,202,1,181,0
405,random,202,0,300,1
406,hill,203,1,176,0
407,random,203,0,300,1
408,hill,204,1,43,0
409,random,204,0,300,1
410,hill,205,1,76,0
411,random,205,0,300,1
412,hill,206,1,88,0
413,random,206,0,300,1
414,hill,207,1,35,0
415,random,207,0,300,1
416,hill,208,1,229,0
417,random,208,1,44,0
418,hill,209,1,28,0
419,random,209,0,300,1
420,hill,210,0,300,1
421,random,210,0,300,1
422,hill,211,1,206,0
423,random,211,0,300,1
424,hill,212,1,157,0
425,random,212,0,300,4
426,hill,213,1,61,0
427,random,213,0,300,1
428,hill,214,0,300,1
429,random,214,0,300,1
430,hill,215,1,283,0
431,random,215,1,36,0
432,hill,216,1,175,0
433,random,216,1,209,0
434,hill,217,0,300,4
435,random,217,0,300,1
436,hill,218,1,91,0
437,random,218,1,207,0
438,hill,219,1,67,0
439,random,219,1,90,0
440,hill,220,1,184,0
441,random,220,0,300,1
442,hill,221,1,187,0
443,random,221,0,300,4
444,hill,222,0,300,5
445,random,222,0,300,1
446,hill,223,1,99,0
447,random,223,0,300,1
448,hill,224,1,51,0
449,random,224,0,300,1
450,hill,225,1,54,0
451,random,225,1,291,0
452,hill,226,1,57,0
453,random,226,0,300,2
454,hill,227,1,219,0
455,random,227,1,197,0
456,hill,228,1,205,0
457,random,228,0,300,1
458,hill,229,1,85,0
459,random,229,0,300,1
460,hill,230,1,133,0
461,random,230,1,156,0
462,hill,231,1,115,0
463,random,231,0,300,1
464,hill,232,1,55,0
465,random,232,1,197,0
466,hill,233,1,73,0
467,random,233,0,300,1
468,hill,234,1,191,0
469,random,234,1,80,0
470,hill,235,0,300,5
471,random,235,1,162,0
472,hill,236,1,67,0
473,random,236,1,165,0
474,hill,237,1,68,0
475,random,237,1,31,0
476,hill,238,1,103,0
477,random,238,0,300,1
478,hill,239,1,103,0
479,random,239,0,300,1
480,hill,240,1,55,0
481,random,240,0,300,1
482,hill,241,0,300,6
483,random,241,0,300,1
484,hill,242,1,241,0
485,random,242,0,300,1
486,hill,243,1,55,0
